CEP;LAT;LOG
74000000;-16,81463;-49,42526
74000001;-16,65940;-49,29294
74003010;-16,68195;-49,25860
74010010;-16,67889;-49,26314
74010030;-16,67624;-49,25695
74013010;-16,67895;-49,25770
74013020;-16,67798;-49,25898
74013030;-16,67866;-49,26052
74013040;-16,67748;-49,26144
74013070;-16,67508;-49,25568
74015020;-16,67972;-49,26073
74015030;-16,67935;-49,26054
74015040;-16,68050;-49,25967
74015050;-16,67882;-49,26181
74015060;-16,67890;-49,26135
74015070;-16,67793;-49,26158
74015080;-16,68118;-49,26352
74015090;-16,68138;-49,26014
74015100;-16,68111;-49,25944
74015120;-16,67849;-49,26244
74015130;-16,67391;-49,26122
74015140;-16,67432;-49,26250
74015175;-16,67615;-49,26530
74015180;-16,67589;-49,26371
74020010;-16,67355;-49,26372
74020030;-16,67414;-49,26313
74020040;-16,67192;-49,25519
74020050;-16,67249;-49,25218
74020070;-16,67283;-49,25658
74020080;-16,67355;-49,25624
74020090;-16,67127;-49,25705
74020100;-16,67106;-49,25086
74020120;-16,67223;-49,25219
74020130;-16,67247;-49,25618
74020150;-16,67061;-49,25178
74020160;-16,67167;-49,25113
74020170;-16,67899;-49,25586
74023010;-16,67793;-49,26371
74023020;-16,67817;-49,25847
74023030;-16,67672;-49,25757
74023040;-16,67412;-49,25708
74030010;-16,67975;-49,25451
74030020;-16,67829;-49,25108
74030030;-16,67847;-49,25512
74030040;-16,67912;-49,25529
74030050;-16,67885;-49,25548
74030060;-16,67885;-49,25283
74030070;-16,67626;-49,25451
74030075;-16,67909;-49,25640
74030080;-16,67569;-49,25400
74030090;-16,67924;-49,25428
74030120;-16,67247;-49,25455
74030150;-16,67390;-49,25089
74030160;-16,67803;-49,25028
74043010;-16,67728;-49,26535
74043050;-16,67969;-49,26441
74045020;-16,67076;-49,26361
74045050;-16,66840;-49,26581
74045060;-16,66949;-49,26506
74045065;-16,66886;-49,26304
74045080;-16,66743;-49,26245
74045090;-16,66726;-49,26522
74045100;-16,66646;-49,26543
74045120;-16,67063;-49,26257
74045130;-16,66768;-49,26395
74045140;-16,66790;-49,26587
74045150;-16,66959;-49,26512
74045155;-16,67305;-49,26650
74045170;-16,66793;-49,26428
74055030;-16,66447;-49,25765
74055040;-16,66439;-49,25833
74055045;-16,66593;-49,26636
74055050;-16,66524;-49,25863
74055060;-16,66478;-49,25891
74055070;-16,66696;-49,25682
74055080;-16,66585;-49,25842
74055090;-16,66665;-49,25850
74055100;-16,67002;-49,25968
74055110;-16,66740;-49,25813
74055120;-16,66993;-49,26051
74055130;-16,66540;-49,25443
74055140;-16,67073;-49,26124
74055150;-16,67017;-49,26488
74055160;-16,66912;-49,25658
74055170;-16,66999;-49,25837
74055180;-16,67005;-49,25585
74055190;-16,66936;-49,25568
74055200;-16,66975;-49,25734
74055210;-16,66892;-49,25764
74055220;-16,67008;-49,25446
74063020;-16,66461;-49,26719
74063023;-16,66465;-49,26847
74063025;-16,65959;-49,25729
74063030;-16,66024;-49,26535
74063040;-16,66200;-49,26660
74063050;-16,66414;-49,26919
74063060;-16,66159;-49,26493
74063070;-16,66249;-49,26550
74063090;-16,66283;-49,26606
74063100;-16,66466;-49,26778
74063110;-16,66325;-49,26766
74063120;-16,66225;-49,26684
74063140;-16,66307;-49,26777
74063150;-16,66394;-49,26848
74063160;-16,66466;-49,26930
74063180;-16,66078;-49,26532
74063190;-16,65695;-49,26326
74063200;-16,65991;-49,26468
74063210;-16,65840;-49,26388
74063220;-16,65888;-49,26346
74063225;-16,65844;-49,26320
74063230;-16,65766;-49,26292
74063250;-16,65915;-49,26431
74063260;-16,66385;-49,26738
74063300;-16,66061;-49,25959
74063310;-16,65998;-49,25415
74063315;-16,66142;-49,25677
74063320;-16,66122;-49,25717
74063321;-16,66314;-49,25879
74063330;-16,66056;-49,25719
74063340;-16,66001;-49,25727
74063350;-16,66082;-49,26146
74063360;-16,66042;-49,25876
74063365;-16,65328;-49,26321
74063370;-16,65933;-49,25767
74063380;-16,65867;-49,25769
74063390;-16,65801;-49,25787
74063400;-16,65685;-49,25872
74063410;-16,65715;-49,25739
74063420;-16,65836;-49,25634
74063450;-16,65652;-49,26166
74063460;-16,65384;-49,26200
74063470;-16,65585;-49,26162
74063480;-16,65639;-49,26098
74063485;-16,65656;-49,26223
74063490;-16,65431;-49,26240
74063500;-16,65614;-49,26182
74063510;-16,65381;-49,26188
74063920;-16,66119;-49,25861
74070010;-16,67082;-49,27546
74070030;-16,67320;-49,27503
74070040;-16,67702;-49,27145
74070050;-16,67238;-49,27061
74070060;-16,67343;-49,27059
74070080;-16,66929;-49,27344
74070100;-16,67464;-49,27205
74070110;-16,67009;-49,26739
74070130;-16,67021;-49,26966
74070150;-16,67052;-49,27339
74070160;-16,67063;-49,27177
74070170;-16,67088;-49,26711
74070180;-16,67563;-49,27517
74075010;-16,67842;-49,27471
74075030;-16,67814;-49,27306
74075040;-16,67690;-49,27340
74075050;-16,67668;-49,26780
74075057;-16,67656;-49,26607
74075060;-16,67600;-49,26781
74075070;-16,67376;-49,26559
74075080;-16,67552;-49,26683
74075085;-16,66574;-49,26772
74075090;-16,67574;-49,26748
74075100;-16,67323;-49,26701
74075110;-16,67288;-49,26699
74075120;-16,67397;-49,26879
74075130;-16,67374;-49,26612
74075135;-16,67327;-49,26654
74075140;-16,67150;-49,26686
74075150;-16,67641;-49,27517
74075160;-16,66606;-49,27090
74075170;-16,67483;-49,26566
74075200;-16,67397;-49,27169
74075210;-16,67695;-49,26938
74075220;-16,67706;-49,27349
74075230;-16,67740;-49,27081
74075240;-16,67785;-49,27226
74075250;-16,67759;-49,27394
74075260;-16,67756;-49,27307
74075290;-16,67667;-49,27582
74075291;-16,67427;-49,27591
74075300;-16,67076;-49,27446
74075310;-16,67244;-49,27484
74075320;-16,67758;-49,27508
74075330;-16,66966;-49,26719
74075340;-16,67193;-49,27444
74075470;-16,67486;-49,27399
74075480;-16,67424;-49,27592
74075500;-16,67323;-49,27448
74080010;-16,69052;-49,26215
74080015;-16,69058;-49,26266
74080020;-16,68432;-49,25758
74080030;-16,68628;-49,25869
74080040;-16,68754;-49,25936
74080050;-16,68877;-49,25999
74080060;-16,68289;-49,25901
74080070;-16,68354;-49,25734
74080080;-16,68406;-49,25667
74080110;-16,68617;-49,25605
74080120;-16,68599;-49,25725
74080130;-16,68564;-49,25815
74080140;-16,68375;-49,25908
74080150;-16,68573;-49,25989
74080153;-16,68357;-49,25992
74080160;-16,68255;-49,25958
74080170;-16,68698;-49,25787
74080180;-16,68807;-49,25895
74080190;-16,68742;-49,25724
74080200;-16,68820;-49,25907
74080210;-16,68858;-49,25789
74080220;-16,68911;-49,26250
74080230;-16,68960;-49,26257
74080250;-16,68816;-49,25538
74080260;-16,68885;-49,25616
74080270;-16,68959;-49,25655
74080280;-16,69008;-49,25809
74080290;-16,68982;-49,25872
74080295;-16,69111;-49,26159
74080300;-16,68949;-49,26065
74080310;-16,69012;-49,26004
74080320;-16,69021;-49,26083
74080330;-16,68672;-49,25613
74080340;-16,68301;-49,25842
74080350;-16,68541;-49,25658
74080360;-16,68635;-49,25648
74080400;-16,68902;-49,25593
74080415;-16,68365;-49,25444
74080420;-16,68027;-49,25412
74080425;-16,68020;-49,25084
74080445;-16,68552;-49,25671
74080450;-16,68572;-49,25362
74080460;-16,68620;-49,25405
74083010;-16,68282;-49,25826
74083012;-16,68194;-49,25997
