CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74730450;-16,69371;-49,21065;74730450;-16,69371;-49,21065
74730450;-16,69371;-49,21065;74730450;-16,69371;-49,21065
74810220;-16,70331;-49,24257;74853070;-16,73228;-49,24408
74730250;-16,68944;-49,21045;74730150;-16,69266;-49,21329
74255120;-16,72332;-49,29379;74690900;-16,61139;-49,26831
74355658;-16,75173;-49,35792;74210270;-16,69945;-49,27906
74210030;-16,70354;-49,27887;74605070;-16,68070;-49,24776
74210030;-16,70354;-49,27887;74605070;-16,68070;-49,24776
74210030;-16,70354;-49,27887;74605070;-16,68070;-49,24776
74845190;-16,72335;-49,24404;74250030;-16,72393;-49,29046
74563355;-16,65501;-49,27546;74043050;-16,67969;-49,26441
74563355;-16,65501;-49,27546;74043050;-16,67969;-49,26441
74563355;-16,65501;-49,27546;74043050;-16,67969;-49,26441
74735190;-16,68531;-49,20869;74735190;-16,68531;-49,20869
74475179;-16,62448;-49,32726;74115060;-16,68769;-49,27693
74460790;-16,66563;-49,35320;74805480;-16,70320;-49,23320
74460790;-16,66563;-49,35320;74805480;-16,70320;-49,23320
74484740;-16,70776;-49,37864;74484740;-16,70776;-49,37864
74343240;-16,73699;-49,29639;74280290;-16,72193;-49,27414
74394705;-16,73901;-49,37840;74645070;-16,66212;-49,25170
74394705;-16,73901;-49,37840;74645070;-16,66212;-49,25170
74325060;-16,70613;-49,31708;74730280;-16,68864;-49,20959
74835460;-16,73661;-49,28371;74255220;-16,71028;-49,29496
74860620;-16,73914;-49,21950;74030060;-16,67885;-49,25283
74371485;-16,72996;-49,34562;74170100;-16,69736;-49,26136
74210060;-16,70702;-49,28765;74805100;-16,69908;-49,24458
74691300;-16,59059;-49,29420;74180081;-16,70424;-49,25590
74210060;-16,70702;-49,28765;74805100;-16,69908;-49,24458
74465445;-16,64951;-49,32648;74690900;-16,61139;-49,26831
74690828;-16,58687;-49,25922;74650300;-16,65704;-49,24763
74610180;-16,67736;-49,23920;74610130;-16,68145;-49,24257
74845560;-16,71648;-49,24379;74673010;-16,65193;-49,24084
74477062;-16,59756;-49,35027;74672790;-16,64048;-49,23672
74120040;-16,69069;-49,26419;74343560;-16,73029;-49,30056
74805240;-16,69234;-49,24338;74680160;-16,62133;-49,19928
74150220;-16,69673;-49,26834;74110060;-16,68645;-49,27594
74655370;-16,65361;-49,25174;74120110;-16,69001;-49,27191
74343170;-16,73840;-49,30578;74425010;-16,68027;-49,30831
74820250;-16,71507;-49,24779;74820250;-16,71507;-49,24779
74354839;-16,81471;-49,37967;74354839;-16,81471;-49,37967
74645140;-16,66450;-49,25087;74620130;-16,66970;-49,22867
74473782;-16,63324;-49,32047;74473782;-16,63324;-49,32047
74650360;-16,65672;-49,23793;74375300;-16,69870;-49,32245
74395505;-16,75647;-49,37642;74395505;-16,75647;-49,37642
74494568;-16,69481;-49,40696;74494568;-16,69481;-49,40696
74230050;-16,71975;-49,26920;74375070;-16,70058;-49,33536
74711010;-16,67422;-49,22855;74711010;-16,67422;-49,22855
74445230;-16,65809;-49,31443;74445230;-16,65809;-49,31443
74770350;-16,66338;-49,18841;74770350;-16,66338;-49,18841
74543175;-16,67366;-49,28407;74543175;-16,67366;-49,28407
74740470;-16,69635;-49,20184;74740470;-16,69635;-49,20184
74340040;-16,72770;-49,30459;74423250;-16,68531;-49,31386
74356044;-16,79393;-49,37808;74363240;-16,72467;-49,32617
74356044;-16,79393;-49,37808;74363240;-16,72467;-49,32617
74890580;-16,74440;-49,20066;74890580;-16,74440;-49,20066
74675740;-16,62171;-49,21794;74675740;-16,62171;-49,21794
74475350;-16,60029;-49,30819;74475350;-16,60029;-49,30819
74490236;-16,69187;-49,41395;74490236;-16,69187;-49,41395
74610130;-16,68145;-49,24257;74650090;-16,65366;-49,24359
74070150;-16,67052;-49,27339;74070150;-16,67052;-49,27339
74070150;-16,67052;-49,27339;74070150;-16,67052;-49,27339
74583505;-16,62984;-49,30670;74473600;-16,62709;-49,32068
74463770;-16,65032;-49,33641;74605020;-16,68275;-49,24685
74633365;-16,67062;-49,23440;74633365;-16,67062;-49,23440
74085325;-16,70227;-49,25247;74605020;-16,68275;-49,24685
74684235;-16,60017;-49,21178;74684235;-16,60017;-49,21178
74477017;-16,60364;-49,34574;74477017;-16,60364;-49,34574
74494087;-16,68372;-49,39577;74495612;-16,68616;-49,38721
74356800;-16,78679;-49,38501;74356800;-16,78679;-49,38501
74356020;-16,79629;-49,37759;74356020;-16,79629;-49,37759
74481530;-16,59575;-49,32870;74481530;-16,59575;-49,32870
74477280;-16,59287;-49,37698;74477280;-16,59287;-49,37698
74710360;-16,67636;-49,21132;74710360;-16,67636;-49,21132
74691450;-16,58707;-49,26834;74565250;-16,64292;-49,27325
74477067;-16,59450;-49,34853;74477067;-16,59450;-49,34853
74255110;-16,72432;-49,29472;74275080;-16,72099;-49,28459
74475640;-16,61924;-49,34947;74475640;-16,61924;-49,34947
74780550;-16,65735;-49,19370;74780550;-16,65735;-49,19370
74553045;-16,66311;-49,28068;74553045;-16,66311;-49,28068
74810210;-16,70372;-49,24387;74810210;-16,70372;-49,24387
74787606;-16,64588;-49,15011;74620250;-16,66675;-49,22106
74475354;-16,59807;-49,31241;74535280;-16,67767;-49,28579
74590760;-16,61688;-49,30501;74590760;-16,61688;-49,30501
74765280;-16,66853;-49,18943;74765280;-16,66853;-49,18943
74491716;-16,68128;-49,44035;74475810;-16,62366;-49,33764
74594120;-16,62091;-49,30621;74594120;-16,62091;-49,30621
74270170;-16,70125;-49,28458;74270170;-16,70125;-49,28458
74484243;-16,70354;-49,35655;74484243;-16,70354;-49,35655
74320120;-16,69641;-49,31173;74320120;-16,69641;-49,31173
74475370;-16,59821;-49,31474;74474520;-16,63130;-49,32873
74475370;-16,59821;-49,31474;74474520;-16,63130;-49,32873
74370757;-16,73695;-49,37127;74275010;-16,72091;-49,28550
74463580;-16,65441;-49,34712;74463450;-16,65176;-49,34834
74473790;-16,63274;-49,32164;74474121;-16,62236;-49,33484
74603190;-16,68250;-49,24676;74603190;-16,68250;-49,24676
74480240;-16,61941;-49,35415;74480240;-16,61941;-49,35415
74553560;-16,65899;-49,27801;74553560;-16,65899;-49,27801
74475298;-16,60465;-49,32153;74475298;-16,60465;-49,32153
74830145;-16,72773;-49,25989;74180100;-16,70394;-49,26113
74675680;-16,62809;-49,22185;74675680;-16,62809;-49,22185
74425710;-16,67390;-49,31838;74425710;-16,67390;-49,31838
74455140;-16,66998;-49,32766;74455140;-16,66998;-49,32766
74865090;-16,72302;-49,22300;74013030;-16,67866;-49,26052
74474332;-16,60889;-49,31320;74474332;-16,60889;-49,31320
74369054;-16,74626;-49,34589;74533170;-16,68242;-49,28554
74250010;-16,72184;-49,28526;74250010;-16,72184;-49,28526
74484724;-16,70150;-49,36726;74484724;-16,70150;-49,36726
74865090;-16,72302;-49,22300;74013030;-16,67866;-49,26052
74485370;-16,68810;-49,33827;74485370;-16,68810;-49,33827
74371002;-16,73659;-49,35157;74371002;-16,73659;-49,35157
