CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74810220;-16,70331;-49,24257;74853070;-16,73228;-49,24408
74730250;-16,68944;-49,21045;74730150;-16,69266;-49,21329
74255120;-16,72332;-49,29379;74690900;-16,61139;-49,26831
74355658;-16,75173;-49,35792;74210270;-16,69945;-49,27906
74210030;-16,70354;-49,27887;74605070;-16,68070;-49,24776
74210030;-16,70354;-49,27887;74605070;-16,68070;-49,24776
74210030;-16,70354;-49,27887;74605070;-16,68070;-49,24776
74845190;-16,72335;-49,24404;74250030;-16,72393;-49,29046
74563355;-16,65501;-49,27546;74043050;-16,67969;-49,26441
74563355;-16,65501;-49,27546;74043050;-16,67969;-49,26441
74563355;-16,65501;-49,27546;74043050;-16,67969;-49,26441
74475179;-16,62448;-49,32726;74115060;-16,68769;-49,27693
74460790;-16,66563;-49,35320;74805480;-16,70320;-49,23320
74460790;-16,66563;-49,35320;74805480;-16,70320;-49,23320
74343240;-16,73699;-49,29639;74280290;-16,72193;-49,27414
74394705;-16,73901;-49,37840;74645070;-16,66212;-49,25170
74394705;-16,73901;-49,37840;74645070;-16,66212;-49,25170
74325060;-16,70613;-49,31708;74730280;-16,68864;-49,20959
74835460;-16,73661;-49,28371;74255220;-16,71028;-49,29496
74860620;-16,73914;-49,21950;74030060;-16,67885;-49,25283
74371485;-16,72996;-49,34562;74170100;-16,69736;-49,26136
74210060;-16,70702;-49,28765;74805100;-16,69908;-49,24458
74691300;-16,59059;-49,29420;74180081;-16,70424;-49,25590
74210060;-16,70702;-49,28765;74805100;-16,69908;-49,24458
74465445;-16,64951;-49,32648;74690900;-16,61139;-49,26831
74690828;-16,58687;-49,25922;74650300;-16,65704;-49,24763
74610180;-16,67736;-49,23920;74610130;-16,68145;-49,24257
74845560;-16,71648;-49,24379;74673010;-16,65193;-49,24084
74477062;-16,59756;-49,35027;74672790;-16,64048;-49,23672
74120040;-16,69069;-49,26419;74343560;-16,73029;-49,30056
74805240;-16,69234;-49,24338;74680160;-16,62133;-49,19928
74150220;-16,69673;-49,26834;74110060;-16,68645;-49,27594
74655370;-16,65361;-49,25174;74120110;-16,69001;-49,27191
74343170;-16,73840;-49,30578;74425010;-16,68027;-49,30831
74645140;-16,66450;-49,25087;74620130;-16,66970;-49,22867
74650360;-16,65672;-49,23793;74375300;-16,69870;-49,32245
74230050;-16,71975;-49,26920;74375070;-16,70058;-49,33536
74340040;-16,72770;-49,30459;74423250;-16,68531;-49,31386
74356044;-16,79393;-49,37808;74363240;-16,72467;-49,32617
74356044;-16,79393;-49,37808;74363240;-16,72467;-49,32617
74610130;-16,68145;-49,24257;74650090;-16,65366;-49,24359
74583505;-16,62984;-49,30670;74473600;-16,62709;-49,32068
74463770;-16,65032;-49,33641;74605020;-16,68275;-49,24685
74085325;-16,70227;-49,25247;74605020;-16,68275;-49,24685
74494087;-16,68372;-49,39577;74495612;-16,68616;-49,38721
74691450;-16,58707;-49,26834;74565250;-16,64292;-49,27325
74255110;-16,72432;-49,29472;74275080;-16,72099;-49,28459
74787606;-16,64588;-49,15011;74620250;-16,66675;-49,22106
74475354;-16,59807;-49,31241;74535280;-16,67767;-49,28579
74491716;-16,68128;-49,44035;74475810;-16,62366;-49,33764
74475370;-16,59821;-49,31474;74474520;-16,63130;-49,32873
74475370;-16,59821;-49,31474;74474520;-16,63130;-49,32873
74370757;-16,73695;-49,37127;74275010;-16,72091;-49,28550
74463580;-16,65441;-49,34712;74463450;-16,65176;-49,34834
74473790;-16,63274;-49,32164;74474121;-16,62236;-49,33484
74830145;-16,72773;-49,25989;74180100;-16,70394;-49,26113
74865090;-16,72302;-49,22300;74013030;-16,67866;-49,26052
74369054;-16,74626;-49,34589;74533170;-16,68242;-49,28554
74865090;-16,72302;-49,22300;74013030;-16,67866;-49,26052
74886032;-16,72690;-49,21433;74230140;-16,71205;-49,27202
74815710;-16,71473;-49,23950;74884900;-16,70300;-49,22721
74420075;-16,68676;-49,32095;74055045;-16,66593;-49,26636
74420075;-16,68676;-49,32095;74055045;-16,66593;-49,26636
74785420;-16,64683;-49,18089;74785132;-16,64830;-49,19409
74785420;-16,64683;-49,18089;74675830;-16,62567;-49,22551
74275140;-16,71798;-49,28105;74160010;-16,70880;-49,26502
74369035;-16,73918;-49,34868;74070100;-16,67464;-49,27205
74655150;-16,65240;-49,25382;74405030;-16,68426;-49,29749
74655150;-16,65240;-49,25382;74405030;-16,68426;-49,29749
