CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO;POINT_ORIGEM;INTERSECCAO_ORIGEM;AREA_ORIGEM;POINT_DESTINO;INTERSECCAO_DESTINO;AREA_DESTINO
74810220;-16,70331;-49,24257;74853070;-16,73228;-49,24408;c(-49.24257, -16.70331);322;36;c(-49.24408, -16.73228);268;45
74730250;-16,68944;-49,21045;74730150;-16,69266;-49,21329;c(-49.21045, -16.68944);252;89;c(-49.21329, -16.69266);252;89
74255120;-16,72332;-49,29379;74690900;-16,61139;-49,26831;c(-49.29379, -16.72332);162;110;c(-49.26831, -16.61139);349;193A
74355658;-16,75173;-49,35792;74210270;-16,69945;-49,27906;c(-49.35792, -16.75173);128;159;c(-49.27906, -16.69945);306;50
74210030;-16,70354;-49,27887;74605070;-16,68070;-49,24776;c(-49.27887, -16.70354);87;53;c(-49.24776, -16.6807);287;30
74210030;-16,70354;-49,27887;74605070;-16,68070;-49,24776;c(-49.27887, -16.70354);87;53;c(-49.24776, -16.6807);287;30
74210030;-16,70354;-49,27887;74605070;-16,68070;-49,24776;c(-49.27887, -16.70354);87;53;c(-49.24776, -16.6807);287;30
74845190;-16,72335;-49,24404;74250030;-16,72393;-49,29046;c(-49.24404, -16.72335);280;39;c(-49.29046, -16.72393);163;60
74563355;-16,65501;-49,27546;74043050;-16,67969;-49,26441;c(-49.27546, -16.65501);79;73;c(-49.26441, -16.67969);299;18
74563355;-16,65501;-49,27546;74043050;-16,67969;-49,26441;c(-49.27546, -16.65501);79;73;c(-49.26441, -16.67969);299;18
74563355;-16,65501;-49,27546;74043050;-16,67969;-49,26441;c(-49.27546, -16.65501);79;73;c(-49.26441, -16.67969);299;18
74475179;-16,62448;-49,32726;74115060;-16,68769;-49,27693;c(-49.32726, -16.62448);210;189;c(-49.27693, -16.68769);308;19
74460790;-16,66563;-49,35320;74805480;-16,70320;-49,23320;c(-49.3532, -16.66563);137;176A;c(-49.2332, -16.7032);322;36
74460790;-16,66563;-49,35320;74805480;-16,70320;-49,23320;c(-49.3532, -16.66563);137;176A;c(-49.2332, -16.7032);322;36
74343240;-16,73699;-49,29639;74280290;-16,72193;-49,27414;c(-49.29639, -16.73699);160;103;c(-49.27414, -16.72193);274;97
74394705;-16,73901;-49,37840;74645070;-16,66212;-49,25170;c(-49.3784, -16.73901);132;164B;c(-49.2517, -16.66212);285;28
74394705;-16,73901;-49,37840;74645070;-16,66212;-49,25170;c(-49.3784, -16.73901);132;164B;c(-49.2517, -16.66212);285;28
74325060;-16,70613;-49,31708;74730280;-16,68864;-49,20959;c(-49.31708, -16.70613);131;113;c(-49.20959, -16.68864);252;89
74835460;-16,73661;-49,28371;74255220;-16,71028;-49,29496;c(-49.28371, -16.73661);76;100;c(-49.29496, -16.71028);140;55
74860620;-16,73914;-49,21950;74030060;-16,67885;-49,25283;c(-49.2195, -16.73914);248;94B;c(-49.25283, -16.67885);296;6
74371485;-16,72996;-49,34562;74170100;-16,69736;-49,26136;c(-49.34562, -16.72996);124;163;c(-49.26136, -16.69736);303;14
74210060;-16,70702;-49,28765;74805100;-16,69908;-49,24458;c(-49.28765, -16.70702);183;54;c(-49.24458, -16.69908);322;36
74691300;-16,59059;-49,29420;74180081;-16,70424;-49,25590;c(-49.2942, -16.59059);78;201;c(-49.2559, -16.70424);309;13
74210060;-16,70702;-49,28765;74805100;-16,69908;-49,24458;c(-49.28765, -16.70702);183;54;c(-49.24458, -16.69908);322;36
74465445;-16,64951;-49,32648;74690900;-16,61139;-49,26831;c(-49.32648, -16.64951);110;133;c(-49.26831, -16.61139);349;193A
74690828;-16,58687;-49,25922;74650300;-16,65704;-49,24763;c(-49.25922, -16.58687);342;196;c(-49.24763, -16.65704);286;77
74610180;-16,67736;-49,23920;74610130;-16,68145;-49,24257;c(-49.2392, -16.67736);294;32;c(-49.24257, -16.68145);289;33
74845560;-16,71648;-49,24379;74673010;-16,65193;-49,24084;c(-49.24379, -16.71648);280;39;c(-49.24084, -16.65193);286;77
74477062;-16,59756;-49,35027;74672790;-16,64048;-49,23672;c(-49.35027, -16.59756);197;185;c(-49.23672, -16.64048);354;144C
74120040;-16,69069;-49,26419;74343560;-16,73029;-49,30056;c(-49.26419, -16.69069);305;16;c(-49.30056, -16.73029);160;103
74805240;-16,69234;-49,24338;74680160;-16,62133;-49,19928;c(-49.24338, -16.69234);283;10;c(-49.19928, -16.62133);359;150B
74150220;-16,69673;-49,26834;74110060;-16,68645;-49,27594;c(-49.26834, -16.69673);307;15;c(-49.27594, -16.68645);308;19
74655370;-16,65361;-49,25174;74120110;-16,69001;-49,27191;c(-49.25174, -16.65361);284;76;c(-49.27191, -16.69001);305;16
74343170;-16,73840;-49,30578;74425010;-16,68027;-49,30831;c(-49.30578, -16.7384);160;103;c(-49.30831, -16.68027);175;124
74645140;-16,66450;-49,25087;74620130;-16,66970;-49,22867;c(-49.25087, -16.6645);285;28;c(-49.22867, -16.6697);259;80
74650360;-16,65672;-49,23793;74375300;-16,69870;-49,32245;c(-49.23793, -16.65672);286;77;c(-49.32245, -16.6987);138;161A
74230050;-16,71975;-49,26920;74375070;-16,70058;-49,33536;c(-49.2692, -16.71975);272;48;c(-49.33536, -16.70058);178;167A
74340040;-16,72770;-49,30459;74423250;-16,68531;-49,31386;c(-49.30459, -16.7277);161;109;c(-49.31386, -16.68531);174;119
74356044;-16,79393;-49,37808;74363240;-16,72467;-49,32617;c(-49.37808, -16.79393);13;158A;c(-49.32617, -16.72467);155;108
74356044;-16,79393;-49,37808;74363240;-16,72467;-49,32617;c(-49.37808, -16.79393);13;158A;c(-49.32617, -16.72467);155;108
74610130;-16,68145;-49,24257;74650090;-16,65366;-49,24359;c(-49.24257, -16.68145);289;33;c(-49.24359, -16.65366);286;77
74583505;-16,62984;-49,30670;74473600;-16,62709;-49,32068;c(-49.3067, -16.62984);208;190;c(-49.32068, -16.62709);208;190
