AREA;ORIGINADO;DESTINADO;TOTAL
90C;1;173;174
36;28;80;108
16;33;74;107
24;27;75;102
38;32;57;89
33;28;61;89
77;59;29;88
75;10;74;84
18;7;77;84
39;47;34;81
9;12;67;79
161A;51;25;76
90B;10;65;75
183;45;27;72
21;10;61;71
63;57;13;70
89;52;17;69
90A;9;60;69
13;18;45;63
158A;52;10;62
166;35;26;61
47;27;34;61
51;17;42;59
76;53;5;58
154A;17;39;56
190;50;4;54
156;53;1;54
54;30;22;52
48;33;18;51
50;12;39;51
6;15;34;49
64;6;41;47
144B;13;34;47
191;36;10;46
100;39;7;46
112;31;15;46
113;23;23;46
212;40;5;45
184;19;25;44
32;15;29;44
102;37;6;43
106;29;14;43
189;37;6;43
133;26;16;42
159;33;9;42
23;12;30;42
172A;33;8;41
193A;2;39;41
171;32;8;40
59;17;22;39
19;16;23;39
60;17;21;38
119;18;20;38
188B;28;10;38
40;12;26;38
3;7;31;38
97;14;22;36
154B;32;3;35
131B;1;33;34
14;3;31;34
96A;28;6;34
137;17;16;33
122;5;28;33
145A;27;6;33
168;15;17;32
29;16;16;32
179;14;17;31
108;17;14;31
109;18;13;31
74;14;17;31
58;20;11;31
149C;14;17;31
147;21;10;31
30;3;27;30
53;16;13;29
160A;24;5;29
42;11;18;29
164B;26;2;28
55;8;20;28
117;8;20;28
185;23;5;28
86;22;6;28
44;21;7;28
31;9;19;28
12;5;23;28
34;9;19;28
101;11;16;27
177;18;9;27
94B;11;16;27
164A;25;1;26
187;22;4;26
49;6;20;26
163;22;3;25
169;20;5;25
92B;20;5;25
132;15;9;24
188A;22;2;24
206B;9;15;24
88;23;1;24
195;22;2;24
61;4;19;23
28;3;20;23
71;11;11;22
114;15;7;22
8;9;13;22
155;14;8;22
52;9;12;21
186;12;9;21
84;13;8;21
95;17;3;20
148B;15;5;20
69;8;11;19
120;6;13;19
57;7;12;19
17;6;13;19
22;6;13;19
136B;14;4;18
103;17;1;18
110;14;4;18
125;1;17;18
116;10;8;18
115;11;7;18
139;14;4;18
124;4;13;17
11;9;8;17
180A;10;6;16
107;13;3;16
118;10;6;16
2;2;14;16
203B;15;1;16
98;10;5;15
201;12;3;15
62;4;11;15
165B;14;1;15
111;9;6;15
93A;14;1;15
10;6;9;15
15;8;7;15
4;1;14;15
105;10;4;14
41;10;4;14
87;12;2;14
72;6;8;14
144C;8;6;14
208A;11;2;13
178;10;3;13
175;11;2;13
198B;12;1;13
79;12;1;13
68;5;7;12
165A;11;1;12
123;6;6;12
167A;5;7;12
45;4;8;12
150B;8;4;12
73;10;1;11
138;9;2;11
174;3;8;11
121;3;8;11
181C;9;2;11
140;7;4;11
129;3;7;10
153;6;4;10
80;3;7;10
7;3;7;10
210A;8;1;9
176A;8;1;9
104;5;4;9
167B;7;2;9
127;3;6;9
130;7;2;9
198A;7;2;9
199A;6;3;9
2131;6;3;9
83;4;5;9
142;1;8;9
170;5;3;8
128;1;7;8
5;4;4;8
78;4;4;8
209A;3;4;7
173;4;3;7
158B;6;1;7
93B;6;1;7
43;6;1;7
149B;3;4;7
192;4;2;6
134A;4;2;6
160B;4;2;6
70;5;1;6
81;3;3;6
135A;1;4;5
66;4;1;5
182B;2;3;5
144A;4;1;5
65;2;2;4
67;2;2;4
90D;1;3;4
2162;2;2;4
20;2;2;4
146;2;2;4
209B;2;1;3
161B;1;2;3
25;2;1;3
194B;1;2;3
193B;1;2;3
193C;2;1;3
134B;1;1;2
202A;1;1;2
27A;1;1;2
151;1;1;2
220A;NA;NA;NA
223B;NA;NA;NA
224A;NA;NA;NA
228A;NA;NA;NA
240A;NA;NA;NA
262;NA;NA;NA
254;NA;NA;NA
228C;NA;NA;NA
228B;NA;NA;NA
2142B;NA;NA;NA
207;NA;NA;NA
248;NA;NA;NA
2312;NA;NA;NA
2311A;NA;NA;NA
2161A;NA;NA;NA
2133A;NA;NA;NA
2172B;NA;NA;NA
220B;NA;NA;NA
250A;NA;NA;NA
251;NA;NA;NA
2161B;NA;NA;NA
2133B;NA;NA;NA
2133C;NA;NA;NA
2142A;NA;NA;NA
2311B;NA;NA;NA
253A;NA;NA;NA
226B;NA;NA;NA
226A;NA;NA;NA
218B;NA;NA;NA
221C;NA;NA;NA
224B;NA;NA;NA
222A;NA;NA;NA
253B;NA;NA;NA
221D;NA;NA;NA
252B;NA;NA;NA
252A;NA;NA;NA
250B;NA;NA;NA
235;NA;NA;NA
229B;NA;NA;NA
229A;NA;NA;NA
2341;NA;NA;NA
2342B;NA;NA;NA
233A;NA;NA;NA
233B;NA;NA;NA
208B;NA;NA;NA
2342A;NA;NA;NA
222B;NA;NA;NA
225A;NA;NA;NA
232;NA;NA;NA
225B;NA;NA;NA
236B;NA;NA;NA
236A;NA;NA;NA
218A;NA;NA;NA
2152B;NA;NA;NA
2152A;NA;NA;NA
2141A;NA;NA;NA
221A;NA;NA;NA
2171;NA;NA;NA
2151A;NA;NA;NA
2151B;NA;NA;NA
2172C;NA;NA;NA
221B;NA;NA;NA
2172A;NA;NA;NA
2141B;NA;NA;NA
223A;NA;NA;NA
2191;NA;NA;NA
259;NA;NA;NA
260;NA;NA;NA
197;NA;NA;NA
56;NA;NA;NA
264;NA;NA;NA
241A;NA;NA;NA
249B;NA;NA;NA
241B;NA;NA;NA
263;NA;NA;NA
135B;NA;NA;NA
249A;NA;NA;NA
244;NA;NA;NA
247B;NA;NA;NA
243;NA;NA;NA
211;NA;NA;NA
180B;NA;NA;NA
131A;NA;NA;NA
181A;NA;NA;NA
181B;NA;NA;NA
247A;NA;NA;NA
246;NA;NA;NA
242;NA;NA;NA
245;NA;NA;NA
210B;NA;NA;NA
230B;NA;NA;NA
162;NA;NA;NA
172B;NA;NA;NA
176B;NA;NA;NA
227B;NA;NA;NA
227A;NA;NA;NA
230A;NA;NA;NA
126B;NA;NA;NA
126A;NA;NA;NA
200;NA;NA;NA
182A;NA;NA;NA
198C;NA;NA;NA
199B;NA;NA;NA
136A;NA;NA;NA
261;NA;NA;NA
255;NA;NA;NA
240C;NA;NA;NA
258;NA;NA;NA
202B;NA;NA;NA
256;NA;NA;NA
257;NA;NA;NA
240B;NA;NA;NA
238;NA;NA;NA
205B;NA;NA;NA
205A;NA;NA;NA
145B;NA;NA;NA
240D;NA;NA;NA
